id;text;action;condition;task_id;sub_id;help
1;"Beschreibe das Klimadiagramm der Station <b>Stuttgart</b>.";7;"station = 'Stuttgart'";1;1;"Zur genaueren Betrachtung kannst Du ein Diagramm vergrößern und verkleinern. Orientiere Dich an der Checkliste aus den Materialien."
2;"Beschreibe das Klimadiagramm der Station <b>Feldberg</b>";7;"station = 'Feldberg'";1;2;""
3;"Vergleiche die Klimadiagramme der Stationen <b>Stuttgart</b> und <b>Feldberg</b>.";6;"";1;3;"Bilde aus den Vorschlägen vergleichende Aussagen zu den beiden Klimadiagrammen."
4;"Beschreibe die geographische Lage der Klimastationen <b>Stuttgart</b> und <b>Feldberg</b>.";3;"";1;4;"Aktiviere die Höhenschichtenkarte zur Bearbeitung"
5;"Beschreibe das Klimadiagramm der Station <b>Mannheim</b>.";7;"station = 'Mannheim'";1;5;"Zur genaueren Betrachtung kannst Du ein Diagramm vergrößern und verkleinern. Orientiere Dich an der Checkliste aus den Materialien.)"
6;"Beschreibe das Klimadiagramm der Station <b>Münsingen</b>.";7;"station = 'Münsingen'";1;6;""
7;"Vergleiche die Klimadiagramme der Stationen <b>Mannheim</b> und <b>Münsingen</b>.";6;"";1;7;"Bilde aus den Vorschlägen vergleichende Aussagen zu den beiden Klimadiagrammen."
8;"Beschreibe die geographische Lage der Klimastationen <b>Mannheim</b> und <b>Münsingen</b>.";3;"";1;8;"Aktiviere die Höhenschichtenkarte zur Bearbeitung"
9;"Stelle einen Zusammenhang her zwischen geographischer Lage einer Klimastation in Baden-Württemberg und dem typischen Klimadiagramm dieser Station.";3;"";2;1;""
10;"Lass dir gleichzeitig mehrere Klimadiagramme Baden-Württembergs anzeigen.<br/>Die Zusammenstellung dieser Diagramme erfolgt dabei zufällig, und vermutlich sind Klimadiagramme dabei, die du noch nicht kennst. Die Klimastationen werden auf der Karte angezeigt und benannt.<br/>Beginne auf dem niedrigen Schwierigkeitsgrad <b>Level 1</b><br/>Ordne alle angezeigten Klimadiagramme ihren Klimastationen zu. Ziehe hierzu mit gedrückter linker Maustaste ein Klimadiagramm zur Station.<br/><br/>Lass dir auf demselben Level durch Linksklick auf den Button „Diagramme“ eine neue Zusammenstellung von Klimadiagrammen anzeigen. Ordne alle angezeigten Klimadiagramme ihren Klimastationen zu.";4;"";4;1;"In der vergrößerten Darstellung eines Klimadiagramms kannst du dir die Jahresdurchschnittstemperatur, den Jahresniederschlag, die Meereshöhe und den Namen der Station anzeigen lassen."